#x-axis, nbins, first bin low edge, last bin high edge
3200, 0.0025, 16.0025
# bin number, value
770, 0.481285
771, 0.496086
772, 0.451512
773, 0.473297
774, 0.49754
775, 0.508133
776, 0.492155
777, 0.495905
778, 0.476345
779, 0.48245
780, 0.482945
781, 0.50054
782, 0.470651
783, 0.476131
784, 0.474744
785, 0.453199
786, 0.454734
787, 0.470019
788, 0.446417
789, 0.444651
790, 0.480345
791, 0.407788
792, 0.464597
793, 0.424576
794, 0.435216
795, 0.473765
796, 0.450936
797, 0.480043
798, 0.438374
799, 0.45617
800, 0.449612
801, 0.439543
802, 0.443288
803, 0.447042
804, 0.501866
805, 0.431167
806, 0.443527
807, 0.458485
808, 0.455573
809, 0.455365
810, 0.463694
811, 0.422881
812, 0.471375
813, 0.471004
814, 0.473681
815, 0.445593
816, 0.445553
817, 0.42324
818, 0.391501
819, 0.426862
820, 0.4294
821, 0.448322
822, 0.436481
823, 0.435361
824, 0.433866
825, 0.396812
826, 0.402849
827, 0.458514
828, 0.461731
829, 0.433013
830, 0.397736
831, 0.418684
832, 0.418665
833, 0.381922
834, 0.432465
835, 0.411827
836, 0.41566
837, 0.414183
838, 0.471913
839, 0.428099
840, 0.384934
841, 0.441752
842, 0.435998
843, 0.453902
844, 0.402772
845, 0.379258
846, 0.432978
847, 0.427557
848, 0.40196
849, 0.400217
850, 0.447531
851, 0.377803
852, 0.372869
853, 0.436848
854, 0.422781
855, 0.39992
856, 0.443312
857, 0.409272
858, 0.404091
859, 0.43309
860, 0.407961
861, 0.466579
862, 0.427382
863, 0.423854
864, 0.398965
865, 0.415474
866, 0.41868
867, 0.407906
868, 0.41809
869, 0.415923
870, 0.387859
871, 0.412838
872, 0.416142
873, 0.426685
874, 0.38323
875, 0.390848
876, 0.406724
877, 0.458145
878, 0.405273
879, 0.414648
880, 0.395079
881, 0.414592
882, 0.40167
883, 0.431992
884, 0.455783
885, 0.422294
886, 0.452
887, 0.445884
888, 0.385961
889, 0.426544
890, 0.400297
891, 0.4101
892, 0.417432
893, 0.37784
894, 0.383674
895, 0.41222
896, 0.415842
897, 0.400722
898, 0.393577
899, 0.434697
900, 0.399508
901, 0.381901
902, 0.359404
903, 0.404497
904, 0.417229
905, 0.387608
906, 0.403974
907, 0.358855
908, 0.385657
909, 0.383374
910, 0.374157
911, 0.3629
912, 0.35663
913, 0.355706
914, 0.364684
915, 0.374539
916, 0.343571
917, 0.345209
918, 0.366689
919, 0.339894
920, 0.352525
921, 0.393163
922, 0.379883
923, 0.348537
924, 0.359133
925, 0.387883
926, 0.360049
927, 0.358264
928, 0.35214
929, 0.40206
930, 0.355288
931, 0.34282
932, 0.362731
933, 0.367175
934, 0.353516
935, 0.367915
936, 0.349578
937, 0.364364
938, 0.38365
939, 0.378023
